B3R3,B3R10,B3R9B,B3R6,B14R2,B14R23,B14R15BTERSEDIA,B1282R6,B8R2K3N,B8R2K4N,B4R10B,B121R1,B121R4,B121R5,B121R7,B121R10,B122R3,B1282R1,B1282R2,B1282R3,B1282R4,B1282R5,B122R11,B122R1,B4R3,B51R1B,B3R22E,B3R24,B3R40,B51R2DK2,B14R16,B14R7A,B126R4A,X_Pengiriman_RKO,X_Metode_Pembelian_Kapitasi,X_Persentase_Pemenuhan_EPurchasing,X_Sumber_Dana_Umum,X_Kondisi_Ruang_Farmasi,X_Kualitas_Gudang,X_Sumber_Dana_BPJS,X_Proporsi_Kapitasi,X_Sistem_Pencatatan,X_Kerusakan_Obat,X_Kepemilikan_Kendaraan,X_Intensitas_Kapitasi,Total_Kelompok_Obat_Dinkes
1,2,1,3,1,-1,1,1,0,0,2,1,3,1,0,0,2,0,0,1,12,1,1,2,2,1,1,4,1,1,2,1,1,1,1,0,3,6,2,3,1,3,0,3,2,33
0,0,1,1,2,370,0,1,0,0,2,1,1,2,1,0,0,0,0,1,6,0,1,0,1,1,0,4,0,1,1,2,0,1,0,0,2,6,3,2,1,0,1,3,0,31
0,2,1,3,2,23657,1,1,1,1,2,0,0,0,1,0,0,0,0,1,3,0,0,0,0,1,1,4,1,1,2,1,1,0,0,0,3,6,1,2,1,2,1,3,0,34
0,0,3,3,2,-1,1,1,0,2,2,1,1,2,1,0,2,0,0,1,12,0,1,0,2,1,1,4,0,1,2,1,1,1,-1,0,3,6,4,2,1,1,1,3,4,33
0,2,2,2,2,-1,0,1,0,0,2,1,3,2,1,0,1,1,3,1,12,1,1,1,2,1,1,4,1,1,2,1,1,1,2,1,1,6,4,3,1,3,1,3,2,34
0,2,2,3,2,14583,1,1,0,0,1,1,3,2,1,0,1,0,0,1,10,1,1,1,2,1,1,4,1,1,2,1,1,1,2,3,3,6,4,3,0,3,1,3,2,34
0,0,0,2,2,12060,0,0,0,0,2,1,2,1,1,0,0,0,0,1,5,0,1,0,2,1,1,4,1,1,2,1,0,1,0,0,2,6,3,2,1,1,3,3,0,32
0,2,0,2,2,-1,0,1,0,1,2,1,1,2,1,0,1,0,0,1,12,1,1,2,2,1,1,4,0,1,2,1,1,1,-1,0,2,6,4,3,1,1,1,3,3,32
1,0,3,3,2,-1,0,1,0,0,0,1,3,2,0,1,2,1,1,1,12,1,1,1,0,1,1,4,1,1,2,1,1,1,0,0,3,6,3,3,1,2,1,3,4,30
1,0,2,2,2,9599,0,0,0,0,2,1,3,1,0,1,2,0,0,1,6,1,1,0,0,4,1,3,1,1,1,1,0,1,1,5,3,6,4,2,1,2,1,2,2,31
1,0,1,2,2,8365,1,1,0,0,2,1,1,2,1,0,0,0,0,1,13,0,1,0,0,1,1,3,1,1,2,1,1,1,0,0,3,3,3,2,1,2,1,3,0,29
0,2,2,3,1,8590,0,0,0,0,2,1,1,1,1,0,1,0,0,1,4,1,1,2,2,1,1,4,1,1,2,1,1,1,1,2,1,6,3,3,0,3,1,3,3,34
1,2,1,2,1,15394,1,1,1,1,2,1,1,2,1,0,1,0,0,1,2,0,1,0,0,1,1,4,1,1,2,1,1,1,0,0,2,6,4,3,1,0,0,3,0,33
1,0,1,2,2,888,0,1,0,0,2,1,1,2,0,0,2,0,0,1,12,0,1,1,0,2,0,4,0,1,2,1,1,1,2,4,3,6,3,2,1,2,1,3,0,34
0,1,0,3,2,12955,0,1,0,1,2,1,3,2,1,0,2,1,2,1,12,1,1,0,1,1,1,4,1,1,2,1,0,1,2,5,2,6,3,3,1,3,1,3,4,33
1,0,2,2,2,18295,0,0,2,0,2,1,1,2,1,0,1,0,0,1,12,1,1,1,1,1,1,4,1,1,2,1,1,2,2,5,3,6,4,3,1,1,3,3,3,25
0,0,1,2,2,1077,0,1,1,2,2,1,1,2,1,0,2,0,0,1,12,1,1,1,1,1,1,4,1,1,2,1,0,1,1,5,0,6,4,2,1,1,3,3,0,27
1,2,3,2,1,9144,1,1,0,0,2,1,1,2,1,0,2,0,0,1,12,1,1,1,0,1,1,4,0,0,2,1,1,3,2,4,2,6,3,3,0,1,3,3,4,30
1,2,3,2,1,17117,0,1,0,0,2,1,3,2,1,0,2,1,4,1,4,1,1,0,2,1,1,4,1,1,2,1,1,1,2,4,3,6,4,3,1,1,3,3,3,31
1,0,3,0,2,9598,0,1,0,0,2,1,3,2,1,0,2,0,0,1,6,1,1,1,2,1,1,4,0,1,2,1,1,1,1,0,2,6,4,3,1,2,1,3,3,32
0,0,2,3,2,9526,0,1,0,0,2,1,1,1,1,0,2,0,0,1,12,0,1,1,1,1,1,4,1,1,2,1,1,1,1,5,0,6,3,2,1,2,3,2,2,27
1,0,2,2,2,9646,1,1,1,1,2,1,3,2,0,1,2,0,0,1,4,0,1,1,1,1,0,4,1,1,2,1,1,1,1,0,3,6,3,3,1,1,0,3,2,34
0,0,2,2,2,-1,0,1,0,0,2,1,1,2,1,0,2,0,0,1,12,0,0,2,2,4,1,4,1,1,2,1,1,3,1,0,2,6,1,3,1,1,1,3,4,34
0,0,3,0,2,3354,1,1,0,0,2,1,1,2,1,0,2,1,12,1,24,0,1,1,2,1,1,4,1,1,2,1,1,1,1,0,3,5,3,2,1,1,1,3,3,33
0,0,2,2,2,14990,0,1,0,0,2,1,1,2,0,1,2,1,5,1,12,0,1,1,0,1,1,4,1,1,2,1,1,1,1,5,3,6,4,3,1,2,1,3,1,32
1,0,1,2,2,-1,1,1,0,2,2,1,1,1,0,0,2,0,0,1,4,0,1,0,2,1,1,4,1,1,2,1,1,1,2,3,3,6,3,3,1,1,1,3,3,34
1,2,3,2,1,67404,0,1,1,1,2,1,3,2,0,1,0,0,0,1,4,0,1,0,2,1,1,4,1,1,2,1,1,1,0,0,2,5,4,3,1,3,3,3,0,32
1,0,0,2,2,167,0,1,0,0,2,1,3,2,1,0,2,0,0,1,4,1,1,1,1,1,0,4,1,1,1,1,1,1,1,0,1,6,2,3,1,1,1,3,1,31
