model,accuracy,precision,recall,specificity,f1,mcc,auroc,auprc,tn,fp,fn,tp
RF Baseline,0.6751241036955322,0.5769230769230769,0.3881278538812785,0.8382352941176471,0.4640582347588717,0.2534180032841365,0.7087810009848688,0.5592121859892498,969,187,402,255
RF Baseline + Encoding Scaling,0.6789851075565362,0.5846501128668171,0.3942161339421613,0.8408304498269896,0.4709090909090909,0.26293802623795887,0.710037103748295,0.5601066244022381,972,184,398,259
RF Tuned Fixed Threshold 0.50,0.6845008273579702,0.5938189845474614,0.4094368340943683,0.8408304498269896,0.4846846846846847,0.27787349722735744,0.7222419722656723,0.5700575547082608,972,184,388,269
RF Tuned Fixed Optimized Threshold 0.37,0.6425813568670712,0.504907306434024,0.7047184170471842,0.6072664359861591,0.5883100381194409,0.29995522991518503,0.7222419722656723,0.5700575547082608,702,454,194,463
